name,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Ростов-на-Дону,1137.9,278.5,2760,47431.4,28,37.6,74.4,110.8,305.5,33.5,48.8,43268,290676.0,23190.5,1259.2,21711,147092,4381.6,6140
Ростов-на-Дону,1137.7,284.1,30829,49663.2,28.7,38.1,81.8,109,313.4,32.7,50.8,38588,319082.89999999997,26537.3,1298.4,23418,162835.4,4234,5162
Ростов-на-Дону,1134.7,283.5,3911,55628.1,29.8,41.9,83.8,108,334.7,44.2,50.7,35833,368935.7,47497.2,1437.7,23862,212000.0,6268.9,5722
Батайск,127.9,19.2,409,34716.1,23.5,5.9,31.7,59.5,232.7,53.5,65.7,2059,5911.199999999999,589.5,155.1,2125,9732.8,86,1
Батайск,127.4,18.9,4386,35645.8,24.9,5.8,32.2,58.5,229.4,36.4,67,2030,6083.200000000001,390.4,167.9,2293,11632.7,166.3,-315
Батайск,126.8,18.4,386,38878.6,26,7.5,33.4,58.8,248.4,24,60.7,1980,6354.2,159.9,126.7,1344,13785.9,407.8,-9
Волгодонск,171.4,35.6,540,39783.8,24.5,9,34.4,65.6,235.3,6,27.9,2724,114994.5,977.1,80.7,724,13242.9,89.9,-60
Волгодонск,170,34.8,4099,42530.2,25,8.4,33.2,63.4,236,20.1,31.5,2567,112901.2,1727.6,63.7,519,15524.7,85.7,-494
Волгодонск,168.3,35.1,539,47066.9,25.6,9,33.8,64.1,267,26.7,34.9,2445,132282.9,6965.4,58.9,583,18104.3,298.9,-306
Новочеркасск,168,37,283,36331.8,24.9,7.4,33.7,114,273.6,18.7,30.7,3671,93110.20000000001,745.7,101.1,1293,12379.4,323.5,1530
Новочеркасск,166.3,35.5,3613,37634.3,27.2,6.7,33.4,106.1,277.4,26.6,33.8,3279,76402.9,146.8,79.4,793,13601.8,418.3,-369
Новочеркасск,163.6,36.1,282,39757.2,27.6,7,32.2,108.2,282.5,17.4,36.5,2969,99246.6,1236.0,61.3,618,16010.5,466.3,-759
Новошахтинск,106.6,11.6,359,25418.3,21.1,3.4,17.2,67.2,241,28.3,44.6,579,7378.700000000001,57.1,14.7,132,4147.7,29.4,-334
Новошахтинск,105.1,11.3,2394,27317.1,21.5,3.5,16.9,65.8,265,36.9,47.1,534,6839.900000000001,64.6,13.1,155,4846.1,42.7,-545
Новошахтинск,103.5,11.4,252,31105.2,21.8,3.4,17.3,66.8,272.9,41.8,42,515,10153.1,68.1,13.3,179,5787.1,65.1,-399
Таганрог,248.6,56.1,1071,35739.2,28.2,11.2,37.9,83.1,330.9,25.2,52.8,5870,88781.70000000001,447.3,136.5,1311,19678.5,302.9,1753
Таганрог,248.3,54.8,7443,37432.5,28.6,11.5,36.5,81.2,330.6,19.9,56.1,5646,88968.3,319.6,121.3,1730,23360.9,321.9,2232
Таганрог,245.6,53.3,1075,41179.9,29.3,11.7,39.4,82.5,360.1,17.5,57.4,5291,116296.3,262,91.2,1139,28547,511.2,790
Шахты,230.3,31.1,1171,31283.3,22.1,8.5,27.8,86.1,249.3,14.9,38.1,2914,32502.399999999998,754.8,55.2,543,12374.7,181.2,109
Шахты,228.8,30.3,4403,33445.7,22.5,9.2,27.2,87.3,248.5,45,35.8,2693,31582.7,804.3,56.9,348,14786,153,477
Шахты,226.3,30.4,766,36817.5,23,8.6,24.9,87.4,242.3,28.6,36.6,2553,73039.9,934.8,50.9,452,17277.7,184,310
Майкоп,164.6,37.1,453,33157.6,29.2,7.4,72.9,137.2,383.3,67.8,52.3,3257,16524.1,2690.0,49.5,506,12984.2,597.1,1217
Майкоп,161.9,37.6,4730,35570,29.9,7.8,77.3,138.4,412.8,69.4,54.6,3089,16696.9,1980.7,54.3,519,15256.0,685.6,-2123
Майкоп,161.8,37.3,504,38470.2,30.1,8.3,80.6,141.9,411.8,55.6,59,2931,21710.3,3394.1,70.7,608,18816.0,794,747
Элиста,103.1,29.5,441,32153.8,30.2,8,91.3,156.4,334.3,61.7,42.1,2368,3539.0,630.1,84.9,934,5890.0,82.3,134
Элиста,103.5,29.5,4637,35794.7,30.7,8.2,90.2,153.8,342.2,46.4,37.4,2249,4499.200000000001,784.1,76.2,894,7317.3,67.2,281
Элиста,103.5,29.6,475,37148.2,31.8,8.1,91.1,157.7,348.9,19.6,32.2,2304,3852.8999999999996,373.9,109.4,1019,9322.6,96.7,128
Белгород,394.1,104.7,1243,40032.3,25.3,17.4,79.4,142.7,331.4,25.7,57.8,17737,99159.5,9836.2,128.8,1940,45773.7,999.1,2444
